 XGSE    YGSE   ZGSE    R    BXGSE   BYGSE   BZGSE   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.049   0.208  -0.311   1.113    20658.52     1979.05     3612.80    21065.22
   1.039   0.207  -0.312   1.104    21051.10     2013.90     3533.07    21440.32
   1.029   0.206  -0.314   1.095    21447.63     2048.61     3450.73    21819.84
   1.019   0.205  -0.316   1.086    21847.76     2083.06     3365.85    22203.45
   1.009   0.204  -0.317   1.077    22251.16     2117.18     3278.61    22590.83
   0.999   0.203  -0.319   1.068    22657.36     2150.83     3189.18    22981.58
   0.990   0.202  -0.320   1.059    23065.90     2183.92     3097.80    23375.24
   0.980   0.201  -0.321   1.050    23476.26     2216.27     3004.72    23771.30
   0.970   0.200  -0.322   1.041    23887.84     2247.75     2910.27    24169.22
   0.960   0.199  -0.324   1.032    24300.01     2278.17     2814.86    24568.35
   0.950   0.198  -0.325   1.023    24712.02     2307.33     2718.94    24967.99
   0.940   0.198  -0.326   1.014    25123.11     2335.02     2623.04    25367.36
   0.930   0.197  -0.327   1.005    25532.38     2360.97     2527.81    25765.61
   0.924   0.196  -0.327   1.000    25775.14     2375.55     2471.74    26002.13
