 XGSE    YGSE   ZGSE    R    BXGSE   BYGSE   BZGSE   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   0.956   0.133   1.328   1.642    -8613.54     -951.23    -1496.47     8794.16
   0.966   0.135   1.330   1.649    -8484.79     -939.42    -1393.44     8649.62
   0.976   0.136   1.332   1.656    -8358.20     -927.80    -1293.16     8508.39
   0.986   0.137   1.333   1.664    -8233.72     -916.36    -1195.55     8370.38
   0.995   0.138   1.335   1.671    -8111.31     -905.10    -1100.52     8235.51
   1.005   0.139   1.336   1.678    -7990.92     -894.01    -1008.00     8103.71
   1.015   0.140   1.337   1.685    -7872.50     -883.08     -917.91     7974.88
   1.025   0.141   1.338   1.692    -7756.02     -872.32     -830.17     7848.94
   1.035   0.142   1.339   1.698    -7641.43     -861.73     -744.72     7725.84
   1.045   0.143   1.340   1.705    -7528.70     -851.29     -661.49     7605.50
   1.055   0.145   1.341   1.712    -7417.79     -841.01     -580.41     7487.84
   1.065   0.146   1.342   1.719    -7308.65     -830.87     -501.41     7372.80
   1.074   0.147   1.342   1.726    -7201.25     -820.89     -424.44     7260.31
   1.084   0.148   1.343   1.732    -7095.56     -811.05     -349.43     7150.31
   1.094   0.149   1.343   1.739    -6991.53     -801.36     -276.33     7042.73
   1.104   0.150   1.344   1.746    -6889.13     -791.80     -205.07     6937.52
   1.114   0.151   1.344   1.752    -6788.33     -782.38     -135.61     6834.61
   1.124   0.152   1.344   1.759    -6689.10     -773.10      -67.89     6733.97
   1.134   0.154   1.344   1.765    -6591.40     -763.94       -1.85     6635.52
   1.144   0.155   1.344   1.772    -6495.20     -754.92       62.54     6539.22
   1.154   0.156   1.344   1.778    -6400.47     -746.02      125.34     6445.02
   1.164   0.157   1.344   1.785    -6307.17     -737.25      186.60     6352.85
   1.174   0.158   1.343   1.791    -6215.28     -728.59      246.36     6262.69
   1.184   0.159   1.343   1.797    -6124.77     -720.06      304.66     6174.47
   1.194   0.161   1.342   1.803    -6035.61     -711.64      361.56     6088.17
   1.204   0.162   1.342   1.810    -5947.78     -703.33      417.08     6003.72
   1.213   0.163   1.341   1.816    -5861.23     -695.14      471.27     5921.09
   1.223   0.164   1.340   1.822    -5775.96     -687.05      524.17     5840.25
   1.233   0.165   1.339   1.828    -5691.92     -679.08      575.81     5761.14
   1.243   0.166   1.338   1.834    -5609.10     -671.20      626.23     5683.73
   1.253   0.168   1.337   1.840    -5527.47     -663.44      675.48     5607.97
   1.263   0.169   1.336   1.846    -5447.01     -655.77      723.57     5533.85
   1.273   0.170   1.334   1.852    -5367.68     -648.20      770.55     5461.31
   1.282   0.171   1.333   1.858    -5289.48     -640.73      816.45     5390.34
   1.292   0.172   1.331   1.863    -5212.37     -633.35      861.29     5320.88
   1.302   0.174   1.330   1.869    -5136.33     -626.07      905.12     5252.91
   1.312   0.175   1.328   1.875    -5061.33     -618.88      947.95     5186.40
   1.322   0.176   1.326   1.880    -4987.37     -611.77      989.82     5121.32
   1.331   0.177   1.324   1.886    -4914.42     -604.76     1030.76     5057.64
   1.341   0.178   1.322   1.891    -4842.44     -597.83     1070.79     4995.32
   1.351   0.180   1.320   1.897    -4771.44     -590.99     1109.94     4934.35
   1.360   0.181   1.317   1.902    -4701.37     -584.23     1148.24     4874.70
   1.370   0.182   1.315   1.908    -4632.23     -577.55     1185.71     4816.33
   1.380   0.183   1.312   1.913    -4564.00     -570.95     1222.37     4759.23
   1.389   0.184   1.310   1.918    -4496.65     -564.43     1258.25     4703.36
   1.399   0.186   1.307   1.923    -4430.17     -557.98     1293.38     4648.72
   1.408   0.187   1.304   1.928    -4364.54     -551.61     1327.76     4595.26
   1.418   0.188   1.301   1.934    -4299.74     -545.32     1361.43     4542.97
   1.427   0.189   1.298   1.939    -4235.75     -539.09     1394.41     4491.83
   1.437   0.190   1.295   1.943    -4172.56     -532.94     1426.72     4441.82
   1.446   0.192   1.292   1.948    -4110.14     -526.85     1458.37     4392.91
   1.455   0.193   1.288   1.953    -4048.49     -520.84     1489.39     4345.09
   1.465   0.194   1.285   1.958    -3987.58     -514.88     1519.80     4298.34
   1.474   0.195   1.281   1.963    -3927.41     -509.00     1549.61     4252.64
   1.483   0.196   1.278   1.967    -3867.95     -503.18     1578.84     4207.96
   1.492   0.198   1.274   1.972    -3809.18     -497.42     1607.52     4164.30
   1.501   0.199   1.270   1.976    -3751.09     -491.72     1635.65     4121.63
   1.510   0.200   1.266   1.981    -3693.68     -486.08     1663.25     4079.95
   1.519   0.201   1.262   1.985    -3636.91     -480.50     1690.35     4039.22
   1.528   0.202   1.258   1.990    -3580.79     -474.98     1716.95     3999.44
   1.537   0.203   1.253   1.994    -3525.28     -469.51     1743.08     3960.60
   1.546   0.205   1.249   1.998    -3470.39     -464.10     1768.73     3922.68
   1.555   0.206   1.244   2.002    -3416.09     -458.74     1793.95     3885.66
   1.564   0.207   1.240   2.006    -3362.37     -453.43     1818.73     3849.53
   1.572   0.208   1.235   2.010    -3309.21     -448.18     1843.08     3814.28
   1.581   0.209   1.230   2.014    -3256.62     -442.97     1867.04     3779.89
   1.590   0.211   1.225   2.018    -3204.56     -437.82     1890.59     3746.36
   1.598   0.212   1.220   2.022    -3153.03     -432.71     1913.77     3713.67
   1.607   0.213   1.215   2.025    -3102.01     -427.65     1936.58     3681.80
   1.615   0.214   1.209   2.029    -3051.49     -422.64     1959.03     3650.76
   1.623   0.215   1.204   2.032    -3001.47     -417.67     1981.15     3620.52
   1.632   0.216   1.198   2.036    -2951.92     -412.74     2002.93     3591.08
   1.640   0.217   1.193   2.039    -2902.83     -407.86     2024.39     3562.43
   1.648   0.219   1.187   2.043    -2854.20     -403.02     2045.54     3534.55
   1.656   0.220   1.181   2.046    -2806.00     -398.21     2066.39     3507.45
   1.664   0.221   1.175   2.049    -2758.24     -393.45     2086.96     3481.11
   1.672   0.222   1.169   2.052    -2710.89     -388.73     2107.25     3455.51
   1.680   0.223   1.163   2.055    -2663.95     -384.04     2127.28     3430.66
   1.687   0.224   1.157   2.058    -2617.39     -379.39     2147.05     3406.54
   1.695   0.225   1.150   2.061    -2571.23     -374.78     2166.57     3383.15
   1.703   0.226   1.144   2.064    -2525.42     -370.19     2185.86     3360.47
   1.710   0.228   1.137   2.066    -2479.98     -365.65     2204.92     3338.52
   1.717   0.229   1.131   2.069    -2434.89     -361.13     2223.76     3317.26
   1.725   0.230   1.124   2.071    -2390.14     -356.65     2242.40     3296.71
   1.732   0.231   1.117   2.074    -2345.71     -352.20     2260.83     3276.85
