 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   0.956   0.274   1.307   1.642    -8613.54    -1105.16    -1386.68     8794.16
   0.966   0.275   1.308   1.649    -8484.79    -1082.45    -1285.49     8649.62
   0.976   0.277   1.310   1.656    -8358.21    -1060.22    -1187.03     8508.39
   0.986   0.278   1.311   1.664    -8233.72    -1038.45    -1091.18     8370.38
   0.995   0.279   1.312   1.671    -8111.31    -1017.13     -997.89     8235.51
   1.005   0.280   1.313   1.678    -7990.92     -996.25     -907.08     8103.71
   1.015   0.282   1.315   1.685    -7872.50     -975.80     -818.66     7974.88
   1.025   0.283   1.316   1.692    -7756.02     -955.76     -732.57     7848.94
   1.035   0.284   1.316   1.698    -7641.43     -936.12     -648.74     7725.84
   1.045   0.285   1.317   1.705    -7528.70     -916.88     -567.09     7605.50
   1.055   0.286   1.318   1.712    -7417.79     -898.02     -487.56     7487.84
   1.065   0.288   1.319   1.719    -7308.65     -879.54     -410.10     7372.80
   1.074   0.289   1.319   1.726    -7201.25     -861.42     -334.62     7260.31
   1.084   0.290   1.319   1.732    -7095.56     -843.65     -261.09     7150.31
   1.094   0.291   1.320   1.739    -6991.53     -826.22     -189.43     7042.73
   1.104   0.292   1.320   1.746    -6889.13     -809.14     -119.60     6937.52
   1.114   0.294   1.320   1.752    -6788.33     -792.37      -51.54     6834.61
   1.124   0.295   1.320   1.759    -6689.10     -775.93       14.81     6733.97
   1.134   0.296   1.320   1.765    -6591.40     -759.80       79.50     6635.52
   1.144   0.297   1.320   1.772    -6495.20     -743.97      142.56     6539.22
   1.154   0.298   1.320   1.778    -6400.47     -728.43      204.06     6445.02
   1.164   0.299   1.319   1.785    -6307.17     -713.19      264.04     6352.85
   1.174   0.300   1.319   1.791    -6215.29     -698.22      322.54     6262.69
   1.184   0.301   1.318   1.797    -6124.77     -683.52      379.60     6174.47
   1.194   0.303   1.318   1.803    -6035.61     -669.09      435.27     6088.17
   1.204   0.304   1.317   1.810    -5947.78     -654.93      489.59     6003.72
   1.213   0.305   1.316   1.816    -5861.23     -641.01      542.60     5921.09
   1.223   0.306   1.315   1.822    -5775.96     -627.34      594.34     5840.25
   1.233   0.307   1.314   1.828    -5691.92     -613.91      644.84     5761.14
   1.243   0.308   1.313   1.834    -5609.10     -600.71      694.14     5683.73
   1.253   0.309   1.311   1.840    -5527.47     -587.74      742.28     5607.97
