 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.019   0.170  -0.336   1.086    21847.77     2429.59     3124.93    22203.45
   1.009   0.169  -0.337   1.077    22251.16     2454.23     3034.55    22590.83
   0.999   0.168  -0.338   1.068    22657.36     2478.17     2942.04    22981.58
   0.990   0.167  -0.340   1.059    23065.90     2501.34     2847.66    23375.24
   0.980   0.166  -0.341   1.050    23476.26     2523.60     2751.66    23771.30
   0.970   0.165  -0.342   1.041    23887.84     2544.84     2654.40    24169.22
   0.960   0.164  -0.343   1.032    24300.01     2564.93     2556.29    24568.35
   0.950   0.163  -0.344   1.023    24712.03     2583.72     2457.81    24967.99
   0.940   0.162  -0.345   1.014    25123.11     2601.03     2359.51    25367.36
   0.930   0.161  -0.346   1.005    25532.38     2616.70     2262.06    25765.61
   0.924   0.160  -0.346   1.000    25775.14     2625.22     2204.75    26002.13
